code,entity,continent,year,gdp_per_cap,plastic_waste_per_cap,mismanaged_plastic_waste_per_cap,mismanaged_plastic_waste,coastal_pop,total_pop
FLK,Falkland Islands,South America,2010,,0.252,0.005,5.0,2602.0,
FJI,Fiji,Oceania,2010,7352.08836002372,0.189,0.151,49257.0,896145.0,860623.0
FIN,Finland,Europe,2010,39848.1344978775,0.234,0.005,4985.0,2927674.0,5364546.0
FRA,France,Europe,2010,36855.8446824064,0.192,0.004,24109.0,17287280.0,62787427.0
GUF,French Guiana,South America,2010,,0.144,0.039,2360.0,167631.0,231151.0
PYF,French Polynesia,Oceania,2010,,0.252,0.013,1286.0,270618.0,270764.0
GAB,Gabon,Africa,2010,15355.7846497731,0.054,0.019,6087.0,862328.0,1505463.0
GMB,Gambia,Africa,2010,1644.24236613493,0.048,0.041,19616.0,1324214.0,1728394.0
GEO,Georgia,Europe,2010,6733.78376130988,0.068,0.035,14472.0,1124249.0,4352244.0
GEO,Georgia,Asia,2010,6733.78376130988,0.068,0.035,14472.0,1124249.0,4352244.0
DEU,Germany,Europe,2010,40428.7210307617,0.485,0.01,31239.0,8837035.0,82302465.0
GHA,Ghana,Africa,2010,3059.38362640541,0.04,0.032,91571.0,7727702.0,24391823.0
GIB,Gibraltar,Europe,2010,,0.252,0.005,65.0,33483.0,29244.0
GRC,Greece,Europe,2010,28726.0792836873,0.2,0.004,14229.0,9794702.0,11359346.0
GRL,Greenland,North America,2010,,0.252,0.005,105.0,57068.0,57296.0
GRD,Grenada,North America,2010,11177.9997155594,0.325,0.064,2248.0,96121.0,104487.0
GLP,Guadeloupe,North America,2010,,0.144,0.039,6564.0,466166.0,460666.0
GUM,Guam,Oceania,2010,,0.252,0.006,393.0,190809.0,179896.0
GTM,Guatemala,North America,2010,6714.0635955465,0.28,0.105,91563.0,2392442.0,14388929.0
GGY,Guernsey,Europe,2010,,0.252,0.005,103.0,56289.0,
GIN,Guinea,Africa,2010,1573.54495756823,0.03,0.025,18514.0,1996496.0,9981590.0
GNB,Guinea-Bissau,Africa,2010,1400.36329312665,0.054,0.046,20240.0,1208106.0,1515224.0
GUY,Guyana,South America,2010,5847.85725499679,0.586,0.224,42002.0,513235.0,754493.0
HTI,Haiti,North America,2010,1502.03271141224,0.09,0.044,147389.0,9155693.0,9993247.0
HND,Honduras,North America,2010,3971.18299352727,0.189,0.079,95638.0,3324144.0,7600524.0
HKG,Hong Kong,Asia,2010,48107.7086333279,0.398,0.01,28512.0,7573074.0,7053189.0
HUN,Hungary,Europe,2010,22404.2391969471,,,,,9983645.0
ISL,Iceland,Europe,2010,38978.0055953415,0.281,0.006,598.0,292708.0,320136.0
IND,India,Asia,2010,4404.69700530387,0.01,0.009,599819.0,187493433.0,1224614327.0
IDN,Indonesia,Asia,2010,8433.49735678452,0.057,0.047,3216856.0,187223476.0,239870937.0
IRN,Iran,Asia,2010,17942.8328426143,0.144,0.074,247403.0,9099695.0,73973630.0
IRQ,Iraq,Asia,2010,12717.5975271684,0.103,0.067,15563.0,639228.0,31671591.0
IRL,Ireland,Europe,2010,44030.4141487055,0.43,0.009,11710.0,3749576.0,4469900.0
IMN,Isle of Man,Europe,2010,,,,,,82869.0
ISR,Israel,Asia,2010,29743.0058727916,0.297,0.008,19007.0,6677810.0,7418400.0
ITA,Italy,Europe,2010,36201.1615672134,0.134,0.003,32761.0,33822532.0,60550848.0
JAM,Jamaica,North America,2010,7996.01948795873,0.034,0.01,10019.0,2820558.0,2741052.0
JPN,Japan,Asia,2010,35749.7566788784,0.171,0.003,143121.0,115228891.0,126535920.0
JOR,Jordan,Asia,2010,9472.76832624669,0.144,0.086,1737.0,55392.0,6187227.0
KAZ,Kazakhstan,Europe,2010,20096.5597617591,,,,,16026367.0
KAZ,Kazakhstan,Asia,2010,20096.5597617591,,,,,16026367.0
KEN,Kenya,Africa,2010,2476.01074216401,0.027,0.023,22658.0,2729945.0,40512682.0
KIR,Kiribati,Oceania,2010,1731.53862650466,0.103,0.088,3045.0,94487.0,99546.0
KWT,Kuwait,Asia,2010,75204.145116617,0.686,0.014,11489.0,2293604.0,2736732.0
KGZ,Kyrgyzstan,Asia,2010,2790.17066394311,,,,,5334223.0
LAO,Laos,Asia,2010,4218.78204415944,,,,,6200894.0
LVA,Latvia,Europe,2010,18251.9532813473,0.124,0.02,10284.0,1432078.0,2252060.0
LBN,Lebanon,Asia,2010,16451.7598336606,0.094,0.034,47815.0,3890871.0,4227597.0
LSO,Lesotho,Africa,2010,2365.68346109084,,,,,2171318.0
LBR,Liberia,Africa,2010,699.653721510599,0.084,0.072,56728.0,2148271.0,3994122.0
LBY,Libya,Africa,2010,29630.2221484622,0.144,0.036,52779.0,4050128.0,6355112.0
LIE,Liechtenstein,Europe,2010,,,,,,36032.0
LTU,Lithuania,Europe,2010,21070.6343301646,0.132,0.021,3479.0,443894.0,3323611.0
LUX,Luxembourg,Europe,2010,91743.2938905974,,,,,507448.0
MAC,Macao,Asia,2010,98184.3365009534,0.368,0.007,698.0,257911.0,543656.0
MKD,Macedonia,Europe,2010,11355.3674926425,,,,,2060563.0
MDG,Madagascar,Africa,2010,1385.68507168039,0.016,0.013,34522.0,7062413.0,20713819.0
MWI,Malawi,Africa,2010,1032.9628806199,,,,,14900841.0
MYS,Malaysia,Asia,2010,21107.2679372523,0.198,0.112,936818.0,22890252.0,28401017.0
MDV,Maldives,Asia,2010,12005.5046183167,0.322,0.22,31469.0,392567.0,315885.0
MLI,Mali,Africa,2010,1871.98474385098,,,,,15369809.0
MLT,Malta,Europe,2010,28364.7993209208,0.214,0.018,2620.0,404707.0,416515.0
MHL,Marshall Islands,Oceania,2010,3479.15530340683,0.192,0.15,3187.0,58086.0,54038.0
MTQ,Martinique,North America,2010,,0.252,0.005,749.0,402257.0,405814.0
MRT,Mauritania,Africa,2010,3316.97478042489,0.045,0.038,13854.0,1005481.0,3459773.0
MUS,Mauritius,Africa,2010,15938.4192089782,0.23,0.122,56051.0,1255952.0,1299172.0
MYT,Mayotte,Africa,2010,,,,,,204114.0
MEX,Mexico,North America,2010,15715.9721449501,0.087,0.012,101343.0,22647771.0,113423047.0
FSM,Micronesia (country),Oceania,2010,3297.65693360804,0.103,0.085,4794.0,154895.0,
MDA,Moldova,Europe,2010,3910.86053324527,,,,,3572885.0
MCO,Monaco,Europe,2010,,0.252,0.005,62.0,34050.0,35407.0
MNG,Mongolia,Asia,2010,7708.59999413593,,,,,2756001.0
MNE,Montenegro,Europe,2010,14034.5845640087,0.144,0.046,4416.0,260336.0,631490.0
MSR,Montserrat,North America,2010,,0.144,0.02,38.0,5173.0,5934.0
MAR,Morocco,Africa,2010,6443.25361319481,0.073,0.049,310126.0,17303431.0,31951412.0
MOZ,Mozambique,Africa,2010,917.763832040531,0.015,0.013,45995.0,9566559.0,23390765.0
MMR,Myanmar,Asia,2010,3721.21144009279,0.075,0.066,458269.0,18988522.0,47963012.0
NAM,Namibia,Africa,2010,8460.84736812378,0.144,0.097,5480.0,155084.0,2283289.0
NRU,Nauru,Oceania,2010,6592.43683574598,0.144,0.099,554.0,15289.0,10255.0
NPL,Nepal,Asia,2010,1985.98034060169,,,,,29959364.0
NLD,Netherlands,Europe,2010,45524.6621425733,0.424,0.008,27700.0,8971770.0,16612988.0
ANT,Netherlands Antilles,North America,2010,,0.252,0.005,416.0,227165.0,
NCL,New Caledonia,Oceania,2010,,0.252,0.005,472.0,257904.0,250870.0
NZL,New Zealand,Oceania,2010,32119.2155430773,0.331,0.007,9286.0,3862054.0,4368136.0
NIC,Nicaragua,North America,2010,4028.71208738128,0.143,0.066,84415.0,3482653.0,5788163.0
NER,Niger,Africa,2010,814.240936151832,,,,,15511953.0
NGA,Nigeria,Africa,2010,5150.15881822763,0.103,0.085,851493.0,27477112.0,158423182.0
NIU,Niue,Oceania,2010,,0.252,0.006,4.0,1799.0,1468.0
NFK,Norfolk Island,Oceania,2010,,0.103,0.086,68.0,2156.0,
PRK,North Korea,Asia,2010,,0.054,0.048,304328.0,17327483.0,24346229.0
MNP,Northern Mariana Islands,Oceania,2010,,0.252,0.006,219.0,106256.0,60917.0
NOR,Norway,Europe,2010,62350.4107068751,0.28,0.006,8403.0,4131679.0,4883111.0
OMN,Oman,Asia,2010,45335.8525168436,0.084,0.005,4658.0,2597556.0,2782435.0
PAK,Pakistan,Asia,2010,4283.60731163635,0.103,0.09,480493.0,14581952.0,173593383.0
PLW,Palau,Oceania,2010,11846.5739334318,0.144,0.084,716.0,23446.0,20472.0
PSE,Palestine,Asia,2010,4172.74568921544,0.063,0.005,5599.0,3045258.0,
PAN,Panama,North America,2010,15628.5922438738,0.145,0.029,34388.0,3249531.0,3516820.0
PNG,Papua New Guinea,Oceania,2010,3191.58041028301,0.103,0.09,89835.0,2747514.0,6858266.0
PRY,Paraguay,South America,2010,7289.51391005233,,,,,6454548.0
PER,Peru,South America,2010,9956.55663668307,0.144,0.039,194453.0,13765608.0,29076512.0
PHL,Philippines,Asia,2010,5596.83728794962,0.075,0.062,1883659.0,83446862.0,93260798.0
PCN,Pitcairn,Oceania,2010,,,,,,50.0
POL,Poland,Europe,2010,21770.6444359772,0.097,0.013,15703.0,3272933.0,38276660.0
PRT,Portugal,Europe,2010,27238.4606724422,0.265,0.005,16402.0,8507951.0,10675572.0
PRI,Puerto Rico,North America,2010,33924.0540101397,0.252,0.011,16517.0,4249848.0,3749009.0
QAT,Qatar,Asia,2010,125140.838348001,0.16,0.003,758.0,653007.0,1758793.0
REU,Reunion,Africa,2010,,0.144,0.003,847.0,809426.0,846068.0
ROU,Romania,Europe,2010,17553.2832966444,0.042,0.011,3610.0,875170.0,21486371.0
RUS,Russia,Europe,2010,23107.7852212759,0.112,0.02,80759.0,10812537.0,142958164.0
RUS,Russia,Asia,2010,23107.7852212759,0.112,0.02,80759.0,10812537.0,142958164.0
RWA,Rwanda,Africa,2010,1365.17423994085,,,,,10624005.0
SHN,Saint Helena,Africa,2010,,0.144,0.039,96.0,6839.0,4118.0
KNA,Saint Kitts and Nevis,North America,2010,21412.201453108,0.654,0.054,715.0,36102.0,52402.0
LCA,Saint Lucia,North America,2010,12123.8351390475,0.522,0.113,6709.0,163227.0,174267.0
SPM,Saint Pierre and Miquelon,North America,2010,,0.252,0.005,11.0,5888.0,
VCT,Saint Vincent and the Grenadines,North America,2010,9915.57761891195,0.221,0.051,2245.0,120149.0,109333.0
WSM,Samoa,Oceania,2010,5399.89309631838,0.103,0.084,5122.0,168025.0,183081.0
SMR,San Marino,Europe,2010,73862.3374374501,,,,,31534.0
STP,Sao Tome and Principe,Africa,2010,2641.51394847294,0.103,0.085,5081.0,163740.0,165397.0
SAU,Saudi Arabia,Asia,2010,45421.2284797446,0.156,0.016,20552.0,3593471.0,27448086.0
SEN,Senegal,Africa,2010,2183.99505141766,0.103,0.086,254770.0,8125063.0,12433728.0
SRB,Serbia,Europe,2010,12688.1242898741,,,,,9856222.0
SYC,Seychelles,Africa,2010,20365.1189331513,0.358,0.139,4619.0,91361.0,86518.0
SLE,Sierra Leone,Africa,2010,1199.98985027502,0.041,0.035,36408.0,2887017.0,5867536.0
SGP,Singapore,Asia,2010,72115.8395014504,0.194,0.004,6472.0,4492494.0,5086418.0
SXM,Sint Maarten (Dutch part),North America,2010,,0.252,0.005,70.0,37429.0,
SVK,Slovakia,Europe,2010,25159.0775487579,,,,,5462119.0
SVN,Slovenia,Europe,2010,28678.3726303687,0.145,0.005,556.0,336594.0,2029680.0
SLB,Solomon Islands,Oceania,2010,1871.36935209356,0.103,0.09,20394.0,618678.0,538148.0
SOM,Somalia,Africa,2010,,0.054,0.047,101531.0,5971169.0,9330872.0
ZAF,South Africa,Africa,2010,11887.8050343927,0.24,0.134,630005.0,12899201.0,50132817.0
KOR,South Korea,Asia,2010,30352.1048190303,0.112,0.001,33747.0,41654619.0,48183584.0
SSD,South Sudan,Africa,2010,,,,,,9415421.0
ESP,Spain,Europe,2010,32507.0939660629,0.277,0.006,45853.0,22771488.0,46076989.0
LKA,Sri Lanka,Asia,2010,8529.57144219453,0.357,0.299,1591179.0,14568174.0,20859949.0
SDN,Sudan,Africa,2010,3366.09626107549,0.103,0.083,22928.0,752529.0,34136520.0
SUR,Suriname,South America,2010,14211.8775163255,0.163,0.027,3942.0,402263.0,524636.0
SWZ,Swaziland,Africa,2010,7296.51111860929,,,,,1186056.0
SWE,Sweden,Europe,2010,42942.5625032962,0.048,0.001,2150.0,6202234.0,9379687.0
CHE,Switzerland,Europe,2010,55866.3050707537,,,,,7664318.0
SYR,Syria,Asia,2010,,0.178,0.119,157904.0,3621997.0,20410606.0
TWN,Taiwan,Asia,2010,,0.252,0.006,45718.0,22211567.0,23025000.0
TJK,Tajikistan,Asia,2010,2106.33875580206,,,,,6878637.0
TZA,Tanzania,Africa,2010,2090.58322467574,0.023,0.02,48586.0,6688695.0,44841226.0
THA,Thailand,Asia,2010,13486.5624149548,0.144,0.108,1027739.0,26043442.0,69122234.0
TGO,Togo,Africa,2010,1208.2812098328,0.057,0.049,35401.0,1991642.0,6027798.0
TKL,Tokelau,Oceania,2010,,0.103,0.086,43.0,1379.0,1135.0
TON,Tonga,Oceania,2010,4984.19362951029,0.223,0.176,6624.0,102872.0,104058.0
TTO,Trinidad and Tobago,North America,2010,31260.9070471763,3.6,0.19,94066.0,1358433.0,1341465.0
TUN,Tunisia,Africa,2010,10436.3655998628,0.144,0.088,234309.0,7274973.0,10480934.0
TUR,Turkey,Europe,2010,17959.2591065745,0.212,0.039,485937.0,34042862.0,72752325.0
TUR,Turkey,Asia,2010,17959.2591065745,0.212,0.039,485937.0,34042862.0,72752325.0
TKM,Turkmenistan,Asia,2010,9942.4269559212,,,,,5041995.0
TCA,Turks and Caicos Islands,North America,2010,,0.252,0.006,49.0,22570.0,38354.0
TUV,Tuvalu,Oceania,2010,2986.44985588888,0.144,0.108,457.0,11563.0,9827.0
UGA,Uganda,Africa,2010,1515.86641152128,,,,,33424683.0
UKR,Ukraine,Europe,2010,7824.49845171438,0.103,0.052,128765.0,6812799.0,45448329.0
ARE,United Arab Emirates,Asia,2010,57232.6180757649,0.199,0.004,3016.0,2018302.0,7511690.0
GBR,United Kingdom,Europe,2010,36366.9831782522,0.215,0.004,67549.0,43258889.0,62035570.0
USA,United States,North America,2010,49374.1788851797,0.335,0.007,275424.0,112925034.0,310383948.0
URY,Uruguay,South America,2010,17082.4046586765,0.252,0.024,21562.0,2433597.0,3368786.0
UZB,Uzbekistan,Asia,2010,4239.70220839215,,,,,27444702.0
VUT,Vanuatu,Oceania,2010,2948.03293729183,0.295,0.245,22478.0,251851.0,239651.0
VEN,Venezuela,South America,2010,16544.9720552598,0.252,0.017,102333.0,16094897.0,28979857.0
VNM,Vietnam,Asia,2010,4408.16861192198,0.103,0.09,1833819.0,55858245.0,87848445.0
ESH,Western Sahara,Africa,2010,,,,,,530500.0
YEM,Yemen,Asia,2010,4478.7435991429,0.103,0.077,169181.0,6048920.0,
ZMB,Zambia,Africa,2010,3279.27716144476,,,,,13088570.0
ZWE,Zimbabwe,Africa,2010,1474.87712795527,,,,,12571454.0
